Year,Investigation.Type,Country,Injury.Severity,Make.Model,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured
2008,Accident,United States,Non-Fatal,Cessna P210N,Business,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,"Bombardier, Cl-600",Commercial,0.0,0.0,0.0,43.0
2008,Accident,United States,Non-Fatal,Beechcraft 390,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172P,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Embraer Emb-145Lr,Commercial,0.0,0.0,1.0,52.0
2008,Accident,United States,Non-Fatal,Cessna 172S,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Stephen Sg-3,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-22,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Embraer Erj170,Commercial,0.0,0.0,0.0,132.0
2008,Incident,United States,Non-Fatal,Mcdonnell Md-88,Commercial,0.0,0.0,0.0,148.0
2008,Accident,United States,Non-Fatal,Cessna 140,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172N,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Beech A36,Business,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Boeing 737-700,Commercial,0.0,0.0,1.0,102.0
2008,Incident,United States,Non-Fatal,Boeing 737-300,Commercial,0.0,6.0,0.0,136.0
2008,Incident,United States,Non-Fatal,Airbus A320,Commercial,0.0,1.0,0.0,124.0
2008,Accident,Chile,Fatal,Cessna 210M,Instructional,6.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-44-180,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Schweizer 269C,Instructional,0.0,1.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing 737-3H4,Commercial,0.0,0.0,0.0,244.0
2008,Accident,United States,Non-Fatal,Cessna 172Sp,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-38-112,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172N,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-18-150,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Maule M-4,Instructional,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Cessna 525B,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,American 7Gcaa,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Willey Rotorway Exec 90,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172R,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Aircraft Ch 2000,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Bell 206B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Air At602,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Robinson R22 Beta,Instructional,0.0,1.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-181,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 150,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172R,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Robinson R44,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Robinson R22 Beta,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 150L,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa32,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Fatal,Beech Be-76,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Diamond Da 20-C1,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-44-180,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Gulfstream-Schweizer G-164B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Grumman-Schweizer G-164B,Aerial Application,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing 757-200,Commercial,0.0,0.0,0.0,180.0
2008,Accident,United States,Non-Fatal,Grumman G-164A,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Ayres S2R-600,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-181,Instructional,0.0,1.0,0.0,0.0
2008,Incident,United States,Non-Fatal,Raytheon 1900D,Commercial,0.0,0.0,0.0,13.0
2008,Accident,United States,Non-Fatal,Cessna 182,Instructional,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing 737-524,Commercial,0.0,0.0,0.0,118.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-150,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28R-201,Instructional,0.0,0.0,0.0,1.0
2008,Accident,Canada,Fatal,Piper Pa-46-350P,Business,5.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Beech 95-B55,Business,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,American Aa-1A,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-180,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Hiller Uh-12E,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172S,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Boeing 737-823,Commercial,0.0,1.0,1.0,146.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 177Rg,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Fantasy Allegro,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Weatherly 620B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 150L,Instructional,0.0,1.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Gulfstream-Schweizer G-164B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-23-160,Instructional,0.0,0.0,2.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 182P,Instructional,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Eclipse Ea500,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Fatal,Cessna 150J,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Fatal,Aerofab Lake La-250,Instructional,1.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Let Blanik L-13,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Tecnam P2002 Sierra,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Air At-602,Aerial Application,0.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172S,Instructional,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing 747,Commercial,0.0,0.0,0.0,5.0
2008,Accident,United States,Non-Fatal,Cessna 180,Business,0.0,0.0,0.0,3.0
2008,Accident,United States,Fatal,Dragon Gt-500,Aerial Application,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Hughes 269A,Instructional,0.0,0.0,0.0,2.0
2008,Incident,United States,Non-Fatal,Bombardier Cl600-2D24,Commercial,0.0,0.0,0.0,80.0
2008,Accident,United States,Non-Fatal,Air At-402,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna T210N,Business,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Bellanca 7Gcbc,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Bell 206B,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Air At-502,Aerial Application,0.0,0.0,0.0,1.0
2008,Incident,Senegal,Non-Fatal,Boeing Md-11,Commercial,0.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Beech 76,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Mooney M20E,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Evektor Sportstar Plus,Instructional,0.0,0.0,0.0,1.0
2008,Accident,Spain,Non-Fatal,Cessna T310Q,Instructional,0.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Robinson R22 Beta Ii,Instructional,0.0,1.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Rans S-12 Xl,Instructional,0.0,0.0,1.0,1.0
2008,Accident,United States,Fatal,Piper Pa-25-235,Aerial Application,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-25-235,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Grumman-Schweizer G-164C,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Grumman G-164,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172Sp,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Fatal,Extra Ea-300/L,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Schweizer 269D,Instructional,0.0,0.0,0.0,2.0
2008,Accident,Peru,Non-Fatal,Cessna 172M,Business,0.0,0.0,0.0,4.0
2008,Accident,United States,Non-Fatal,Piper Pa-36,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Robinson R22 Marine,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Thrush S-2R,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-30,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Hawker E-55,Instructional,0.0,0.0,1.0,1.0
2008,Accident,Spain,Non-Fatal,Cessna T188C,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172 M,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 150,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Air At-502B,Aerial Application,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Weatherly 201B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Air 401-0860,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,Micronesia,Non-Fatal,Boeing B727-200F,Commercial,0.0,0.0,0.0,5.0
2008,Accident,United States,Non-Fatal,Cessna Ce-172M,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Mcdonnell Dc10,Commercial,0.0,4.0,1.0,157.0
2008,Accident,United States,Non-Fatal,Grumman-Schweizer G-164A,Aerial Application,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Boeing Md-11F,Commercial,0.0,0.0,0.0,0.0
2008,Accident,United States,Fatal,Grumman Aa-1C,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172N,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172P,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,0.0,0.0,1.0
2008,Accident,Belgium,Non-Fatal,Boeing B747-200,Commercial,0.0,0.0,0.0,5.0
2008,Accident,United States,Non-Fatal,Ayres S-2R,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Schweizer 269C,Instructional,0.0,1.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Ayres S2R-T34,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Embraer 140,Commercial,0.0,0.0,1.0,24.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Sikorsky S-76A,Instructional,0.0,0.0,2.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-161,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Schweizer 269C-1,Instructional,0.0,1.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna Ce-152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,Spain,Non-Fatal,Cessna 206F,Instructional,0.0,0.0,2.0,1.0
2008,Accident,United States,Non-Fatal,Robinson R22,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Aeros Venture,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172H,Instructional,0.0,0.0,2.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-140,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-181,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Schweizer 300C,Instructional,0.0,0.0,1.0,1.0
2008,Accident,United States,Non-Fatal,Luscombe 8A,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172P,Instructional,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Eclipse Ea500,Business,0.0,0.0,0.0,4.0
2008,Accident,United States,Non-Fatal,Cessna 172Rg,Instructional,0.0,0.0,0.0,1.0
2008,Incident,United States,Non-Fatal,Cirrus Sr20,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-44-180,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Mkii Lancair Legacy 2000,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-18-150,Business,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Cessna 172P,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna Ce-152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna A188B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Air At-402B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Grumman-Schweizer G-164B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Fatal,Airborne Edge,Instructional,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Douglas Md-10,Commercial,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Robinson R44 Ii,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Schweizer S6S 2-33,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Robinson R-22 Beta,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Grumman-Schweizer G-164B,Aerial Application,0.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Air At-301A,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper Pa-36-375,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172P,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Ayres S2R-G6,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cirrus Sr-20,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Bellanca 7Gcbc,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Taylorcraft F19,Business,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172R,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Arrow Oh-58C,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Snow S2C,Aerial Application,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Air At-502B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Aero 500S,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-181,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172 Sp,Instructional,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Cessna 172N,Instructional,0.0,0.0,0.0,2.0
2008,Incident,United States,Non-Fatal,Boeing 737,Commercial,0.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Boeing 767,Commercial,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,"Bombardier, Cl-600-2C10",Commercial,0.0,0.0,0.0,112.0
2008,Accident,United States,Non-Fatal,Cessna T206H,Business,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Piper J3C-65,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Piper Pa-28-180,Instructional,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Beech A36,Instructional,0.0,0.0,0.0,3.0
2008,Accident,United States,Non-Fatal,Bell 47G-3B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Smith Aerostar 601P,Business,0.0,4.0,0.0,0.0
2008,Incident,United States,Non-Fatal,Boeing 737-700,Commercial,0.0,0.0,0.0,314.0
2008,Accident,United States,Fatal,Piper Pa-28-161,Instructional,2.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Grumman G-164,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Fatal,Schweizer 269 C-1,Instructional,2.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Rockwell S-2R,Aerial Application,0.0,1.0,0.0,0.0
2008,Incident,Saudi Arabia,Non-Fatal,Boeing B747,Commercial,0.0,0.0,0.0,0.0
2008,Incident,United States,Non-Fatal,Boeing 737-300,Commercial,0.0,0.0,0.0,285.0
2008,Accident,Mexico,Fatal,Mcdonnell Dc-9-15,Commercial,1.0,0.0,1.0,0.0
2008,Accident,United States,Non-Fatal,Aero S2R,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,Colombia,Non-Fatal,Boeing 747-200Fm,Commercial,0.0,3.0,5.0,0.0
2008,Incident,United States,Non-Fatal,Mcdonnell Md-81,Commercial,0.0,0.0,0.0,51.0
2008,Accident,United States,Non-Fatal,Cessna 150F,Instructional,0.0,0.0,2.0,0.0
2008,Accident,United States,Non-Fatal,Evektor-Aerotechnik Sportstar,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172Rg,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172R,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Grumman G-164B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Ayres S2R,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Bell 47G-3B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Fatal,Grumman G-164A,Aerial Application,1.0,0.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Schweizer G-164B,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Diamond Da20-C1,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Bell 47G-3B-1,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Ayres S2R-G6,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 172 N,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Evektor-Aerotechnik Sportstar,Instructional,0.0,0.0,0.0,2.0
2008,Accident,United States,Non-Fatal,Sport Talon Xp,Instructional,0.0,0.0,1.0,1.0
2008,Accident,United States,Non-Fatal,Grumman G-164A,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Rockwell S2R,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Eagle Eagle Dw-1,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Cessna 152,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Air At-402B,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Aero At-4 Lsa,Instructional,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Grumman G-164D,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Piper Pa-36-285,Aerial Application,0.0,0.0,0.0,1.0
2008,Accident,United States,Non-Fatal,Grumman 164A,Aerial Application,0.0,1.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Cessna 172M,Instructional,0.0,2.0,0.0,0.0
2008,Accident,United States,Non-Fatal,Enstrom F28F,Business,0.0,0.0,0.0,1.0
2008,Incident,Indonesia,Non-Fatal,Boeing 737,Commercial,0.0,0.0,0.0,0.0
2008,Incident,United States,Non-Fatal,Airbus A319-114,Commercial,0.0,0.0,0.0,99.0
